airport,operation_category,ops_scenario,feasibility_scenario,adoption_scenario,operation_category_short,label,color
PAE,Local Civil,Low,Slow,Slow,LclCvl,PAE_LclCvl_ops=Low_feasibility=Slow_adoption=Slow,
PAE,Local Civil,Low,Slow,Medium,LclCvl,PAE_LclCvl_ops=Low_feasibility=Slow_adoption=Medium,
PAE,Local Civil,Low,Slow,Fast,LclCvl,PAE_LclCvl_ops=Low_feasibility=Slow_adoption=Fast,
PAE,Local Civil,Low,Medium,Slow,LclCvl,PAE_LclCvl_ops=Low_feasibility=Medium_adoption=Slow,
PAE,Local Civil,Low,Medium,Medium,LclCvl,PAE_LclCvl_ops=Low_feasibility=Medium_adoption=Medium,
PAE,Local Civil,Low,Medium,Fast,LclCvl,PAE_LclCvl_ops=Low_feasibility=Medium_adoption=Fast,
PAE,Local Civil,Low,Fast,Slow,LclCvl,PAE_LclCvl_ops=Low_feasibility=Fast_adoption=Slow,
PAE,Local Civil,Low,Fast,Medium,LclCvl,PAE_LclCvl_ops=Low_feasibility=Fast_adoption=Medium,
PAE,Local Civil,Low,Fast,Fast,LclCvl,PAE_LclCvl_ops=Low_feasibility=Fast_adoption=Fast,black
PAE,Local Civil,Medium,Slow,Slow,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Slow_adoption=Slow,
PAE,Local Civil,Medium,Slow,Medium,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Slow_adoption=Medium,
PAE,Local Civil,Medium,Slow,Fast,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Slow_adoption=Fast,
PAE,Local Civil,Medium,Medium,Slow,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Medium_adoption=Slow,
PAE,Local Civil,Medium,Medium,Medium,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Medium_adoption=Medium,
PAE,Local Civil,Medium,Medium,Fast,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Medium_adoption=Fast,
PAE,Local Civil,Medium,Fast,Slow,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Fast_adoption=Slow,
PAE,Local Civil,Medium,Fast,Medium,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Fast_adoption=Medium,
PAE,Local Civil,Medium,Fast,Fast,LclCvl,PAE_LclCvl_ops=Medium_feasibility=Fast_adoption=Fast,
PAE,Local Civil,High,Slow,Slow,LclCvl,PAE_LclCvl_ops=High_feasibility=Slow_adoption=Slow,
PAE,Local Civil,High,Slow,Medium,LclCvl,PAE_LclCvl_ops=High_feasibility=Slow_adoption=Medium,
PAE,Local Civil,High,Slow,Fast,LclCvl,PAE_LclCvl_ops=High_feasibility=Slow_adoption=Fast,
PAE,Local Civil,High,Medium,Slow,LclCvl,PAE_LclCvl_ops=High_feasibility=Medium_adoption=Slow,
PAE,Local Civil,High,Medium,Medium,LclCvl,PAE_LclCvl_ops=High_feasibility=Medium_adoption=Medium,
PAE,Local Civil,High,Medium,Fast,LclCvl,PAE_LclCvl_ops=High_feasibility=Medium_adoption=Fast,
PAE,Local Civil,High,Fast,Slow,LclCvl,PAE_LclCvl_ops=High_feasibility=Fast_adoption=Slow,
