,itin_carrier,itin_taxi,itin_ga,itin_military,itin_total,lcl_civil,lcl_military,lcl_total,total
2010-01-01,5248,2099,12828,10504,30679,20401,5967,26368,57047
2011-01-01,6188,2360,12136,14708,35392,12503,3193,15696,51088
2012-01-01,4362,2403,12172,6266,25203,11226,2523,13749,38952
2013-01-01,8237,2039,17245,8272,35793,31912,11655,43567,79360
2014-01-01,7544,2253,18177,7864,35838,30128,11151,41279,77117
2015-01-01,5409,2704,17147,7663,32923,30604,9821,40425,73348
2016-01-01,7002,2277,14744,6211,30234,26809,7176,33985,64219
2017-01-01,7466,2267,15764,5961,31458,30495,6634,37129,68587
2018-01-01,7468,11028,12288,5393,36177,34821,6337,41158,77335
2019-01-01,4838,15043,9191,5844,34916,39765,6837,46602,81518
2020-01-01,4399,11756,7513,5011,28679,31062,5909,36971,65650
2021-01-01,7518,15051,7633,6724,36926,44230,7399,51629,88555
2022-01-01,1303,3091,1963,1630,7987,8162,1944,10106,18093
